"Description Product ID","Part Number","Key Feature Product ID","Part Number"
51783,1336-B005-EAD-L2,51966,1336-C020-EAE
51791,1336-B005-EAD-L3-S1,51967,1336-C030-EAF
51784,1336-B005-EAD-S1,51968,1336-C030-E0F
51793,1336-B005-ECD,51969,1336-C040-EAG
51794,1336-B005-ECD-FA2-L1,51970,1336-C050-EAG
51774,1336-B005-EOD,51971,1336-C050-EAG-FA2-L3
51781,1336-B005-EOD-FA2-L3,51972,1336-C050-E0G
51780,1336-B005-EOD-FA2-L3-S1,65133,1336-B100-EAH-FA2-L3-S1
51775,1336-B005-EOD-L1,65132,1336-B050-EOG-FA2-L3-S1
51776,1336-B005-EOD-L2,65131,1336-B050-EAG-FA2-L3
51777,1336-B005-EOD-L3,65130,1336-B050-EAG-FA2
51779,1336-B005-EOD-L3-S1,73698,SP-142693
51778,1336-B005-EOD-S1,73332,SP-120659
51820,1336-B007-E0D,73333,SP-120784
51798,1336-B007-EAD,73340,SP-140141
51803,1336-B007-EAD-FA2,73341,SP-140142
51804,1336-B007-EAD-FA2-L1,73349,SP-133863
51805,1336-B007-EAD-FA2-L3,73350,SP-135254
51807,1336-B007-EAD-FA2-L3-S1,73371,SP-135768
51799,1336-B007-EAD-L1,73375,SP-135767
51800,1336-B007-EAD-L2,73418,SP-135769
51801,1336-B007-EAD-L3,73430,SP-135893
51802,1336-B007-EAD-S1,73461,SP-140558
51806,1336-B007-EAD-S1-FA2,73462,SP-140566
51815,1336-B007-ECD,73463,SP-140568
51816,1336-B007-ECD-FC3-L3,73464,SP-142530
51818,1336-B007-EJD,73465,SP-142531
51808,1336-B007-EOD,73466,SP-142533
51812,1336-B007-EOD-FA2-L3,73467,SP-142534
51809,1336-B007-EOD-L1,73480,SP-140310
51810,1336-B007-EOD-L3,73485,SP-140582
51811,1336-B007-EOD-L3-S1,73486,SP-140578
51822,1336-B010-EAD,73487,SP-140574
51824,1336-B010-EAD-FA2,73504,SP-142746
51826,1336-B010-EAD-FA2-L1,73505,SP-142747
51827,1336-B010-EAD-FA2-L3,73506,SP-142748
51823,1336-B010-EAD-L3,73507,SP-142750
51825,1336-B010-EAD-L3-S1,73510,SP-151136
51829,1336-B010-EAD-S1,73511,SP-151137
51840,1336-B010-ECD,73512,SP-151139
51841,1336-B010-ECD-FC3-L3,73513,SP-151141
51830,1336-B010-EOD,73514,SP-151142
51833,1336-B010-EOD-FA2,73525,SP-151177 
51835,1336-B010-EOD-FA2-L1,73526,SP-151120
51836,1336-B010-EOD-FA2-L2,73527,SP-163877
51837,1336-B010-EOD-FA2-L3,73528,SP-151754
51838,1336-B010-EOD-FA2-L3-S1,73529,SP-151115
51831,1336-B010-EOD-L1,73530,SP-151097
51832,1336-B010-EOD-L3,73531,SP-151082
51834,1336-B010-EOD-L3-S1,73532,SP-148587
51851,1336-B015-E0E,73533,SP-50406
51853,1336-B015-E0E-FA2-L3,73534,SP-50405
51854,1336-B015-E0E-FA2-L3-S1,73545,SP-151158
51852,1336-B015-E0E-L3,73546,SP-151157
51844,1336-B015-EAE,73560,SP-151153
51850,1336-B015-EAE-FA2,73561,SP-151152
51847,1336-B015-EAE-FA2-L3,73562,SP-151148
