"Product Number",MPN,Series,Manufacturer,"Product Type","Terminal Type","Contactor Amperage","Control Voltage","Control Frequency","Auxiliary Contacts","Main Poles",Options
100-C-09-EA-01,100-C09EA01,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"220-250V DC",-,"0 N.O. 1 N.C.",3
100-C-09-EA-10,100-C09EA10,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"220-250V DC",-,"1 N.O. 0 N.C.",3
100-C-09-EA-200,100-C09EA200,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"220-250V DC",-,"0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-C-09-EA-300,100-C09EA300,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"220-250V DC",-,"0 N.O. 0 N.C.","3 N.O. 1 N.C."
100-C-09-EA-400,100-C09EA400,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"220-250V DC",-,"0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-C-09-ED-01,100-C09ED01,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110-125V DC",-,"0 N.O. 1 N.C.",3
100-C-09-ED-10,100-C09ED10,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110-125V DC",-,"1 N.O. 0 N.C.",3
100-C-09-ED-200,100-C09ED200,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110-125V DC",-,"0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-C-09-ED-300,100-C09ED300,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110-125V DC",-,"0 N.O. 0 N.C.","3 N.O. 1 N.C."
100-C-09-ED-400,100-C09ED400,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110-125V DC",-,"0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-C-09-EJ-01,100-C09EJ01,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"0 N.O. 1 N.C.",3
100-C-09-EJ-10,100-C09EJ10,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"1 N.O. 0 N.C.",3
100-C-09-EJ-10-M,100-C09EJ10M,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"1 N.O. 0 N.C.",3
100-C-09-EJ-200,100-C09EJ200,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-C-09-EJ-300,100-C09EJ300,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"0 N.O. 0 N.C.","3 N.O. 1 N.C."
100-C-09-EJ-400,100-C09EJ400,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-C-09-EQ-01,100-C09EQ01,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"12V DC",-,"0 N.O. 1 N.C.",3
100-C-09-EQ-10,100-C09EQ10,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"12V DC",-,"1 N.O. 0 N.C.",3
100-C-09-EQ-200,100-C09EQ200,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"12V DC",-,"0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-C-09-EQ-300,100-C09EQ300,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"12V DC",-,"0 N.O. 0 N.C.","3 N.O. 1 N.C."
100-C-09-EQ-400,100-C09EQ400,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"12V DC",-,"0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-C-09-EW-10,100-C09EW10,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"36-48V DC",-,"1 N.O. 0 N.C.",3
